N,P,Q,Res P,Res Q
9234800,24091,9210709,1,19
9234800,24097,9210703,7,13
9234800,24103,9210697,13,7
9234800,24121,9210679,1,19
9234800,24229,9210571,19,1
9234800,24337,9210463,7,13
9234800,24499,9210301,19,1
9234800,24517,9210283,7,13
9234800,24631,9210169,1,19
9234800,24733,9210067,13,7
9234800,24763,9210037,13,7
9234800,24919,9209881,19,1
9234800,24943,9209857,13,7
9234800,24967,9209833,7,13
9234800,25153,9209647,13,7
9234800,25309,9209491,19,1
9234800,25471,9209329,1,19
9234800,25609,9209191,19,1
9234800,25693,9209107,13,7
9234800,25741,9209059,1,19
9234800,25771,9209029,1,19
9234800,25801,9208999,1,19
9234800,25819,9208981,19,1
9234800,25969,9208831,19,1
9234800,26017,9208783,7,13
9234800,26347,9208453,7,13
9234800,26539,9208261,19,1
9234800,26641,9208159,1,19
9234800,26947,9207853,7,13
9234800,26959,9207841,19,1
9234800,27031,9207769,1,19
9234800,27067,9207733,7,13
9234800,27103,9207697,13,7
9234800,27541,9207259,1,19
9234800,27691,9207109,1,19
9234800,27697,9207103,7,13
9234800,27817,9206983,7,13
9234800,27883,9206917,13,7
9234800,27997,9206803,7,13
9234800,28051,9206749,1,19
9234800,28069,9206731,19,1
9234800,28087,9206713,7,13
9234800,28123,9206677,13,7
9234800,28279,9206521,19,1
9234800,28387,9206413,7,13
9234800,28411,9206389,1,19
9234800,28573,9206227,13,7
9234800,28579,9206221,19,1
9234800,28621,9206179,1,19
9234800,28657,9206143,7,13
9234800,28789,9206011,19,1
9234800,29017,9205783,7,13
9234800,29221,9205579,1,19
9234800,29287,9205513,7,13
9234800,29347,9205453,7,13
9234800,29917,9204883,7,13
9234800,30097,9204703,7,13
9234800,30103,9204697,13,7
9234800,30109,9204691,19,1
9234800,30211,9204589,1,19
9234800,30391,9204409,1,19
9234800,30469,9204331,19,1
9234800,30529,9204271,19,1
9234800,30727,9204073,7,13
9234800,30757,9204043,7,13
9234800,30817,9203983,7,13
9234800,30841,9203959,1,19
9234800,30853,9203947,13,7
